"","Agent","subject","TrialNumber","player_location","Player_letter_angle","Player_letter_angle_abs","RT","correct","sex","age","Handedness","pairs","Letter_Form","block","TrialNumber_inBlock","self_theta","other_theta","self_theta_centred","other_theta_centred","Agent_Contrast","Robot_Contrast","Morphology_Contrast","Animacy_Contrast","Exposure","TrialNumber_inBlockCoded","Letter_Form_Coded","Agent_cat","error_rates"
"12","Human",52210149,12,"right",45,45,888,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,12,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.5,-1.5,-1,"Human",0
"13","Human",52210149,13,"right",315,45,1305,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,13,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.4,-0.5,-1,"Human",0
"14","Human",52210149,14,"right",135,135,1971,1,"Man, including trans man",19,"Right-handed","6","Normal",1,14,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.4,-0.5,1,"Human",0
"15","Human",52210149,15,"right",0,0,719,1,"Man, including trans man",19,"Right-handed","6","Normal",1,15,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.4,-0.5,1,"Human",0
"16","Human",52210149,16,"right",135,135,1001,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,16,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.4,-0.5,-1,"Human",0
"17","Human",52210149,17,"right",225,135,1263,1,"Man, including trans man",19,"Right-handed","6","Normal",1,17,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.4,0.5,1,"Human",0
"18","Human",52210149,18,"right",270,90,935,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,18,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.4,0.5,-1,"Human",0
"19","Human",52210149,19,"right",45,45,1384,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,19,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.4,0.5,-1,"Human",0
"20","Human",52210149,20,"right",0,0,817,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,20,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.4,1.5,-1,"Human",0
"21","Human",52210149,21,"right",225,135,973,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,21,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.4,1.5,-1,"Human",0
"22","Human",52210149,22,"right",270,90,1243,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,22,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.4,1.5,-1,"Human",0
"23","Human",52210149,23,"right",135,135,1212,1,"Man, including trans man",19,"Right-handed","6","Normal",1,23,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.4,2.5,1,"Human",0
"24","Human",52210149,24,"right",225,135,843,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,24,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.4,2.5,-1,"Human",0
"25","Human",52210149,26,"right",315,45,856,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,26,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.4,3.5,-1,"Human",0
"26","Human",52210149,27,"right",180,180,1205,1,"Man, including trans man",19,"Right-handed","6","Normal",1,27,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.4,3.5,1,"Human",0
"27","Human",52210149,28,"right",315,45,829,1,"Man, including trans man",19,"Right-handed","6","Normal",1,28,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.4,3.5,1,"Human",0
"28","Human",52210149,29,"right",180,180,1203,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,29,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.4,4.5,-1,"Human",0
"29","Human",52210149,30,"right",90,90,942,1,"Man, including trans man",19,"Right-handed","6","Normal",1,30,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.4,4.5,1,"Human",0
"30","Human",52210149,31,"right",0,0,927,1,"Man, including trans man",19,"Right-handed","6","mirrored",1,31,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.4,4.5,-1,"Human",0
"31","Human",52210149,33,"left",0,0,1141,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,1,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.4,-4.5,-1,"Human",0
"32","Human",52210149,35,"left",135,135,1414,1,"Man, including trans man",19,"Right-handed","6","Normal",2,3,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.4,-4.5,1,"Human",0
"33","Human",52210149,36,"left",45,45,842,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,4,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.4,-3.5,-1,"Human",0
"34","Human",52210149,37,"left",180,180,1597,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,5,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.4,-3.5,-1,"Human",0
"35","Human",52210149,38,"left",0,0,701,1,"Man, including trans man",19,"Right-handed","6","Normal",2,6,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.4,-3.5,1,"Human",0
"36","Human",52210149,39,"left",90,90,1716,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,7,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.3,-2.5,-1,"Human",0
"37","Human",52210149,42,"left",315,45,709,1,"Man, including trans man",19,"Right-handed","6","Normal",2,10,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.3,-1.5,1,"Human",0
"38","Human",52210149,43,"left",135,135,1344,1,"Man, including trans man",19,"Right-handed","6","Normal",2,11,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.3,-1.5,1,"Human",0
"39","Human",52210149,44,"left",0,0,642,1,"Man, including trans man",19,"Right-handed","6","Normal",2,12,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.3,-1.5,1,"Human",0
"40","Human",52210149,45,"left",180,180,1775,1,"Man, including trans man",19,"Right-handed","6","Normal",2,13,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.3,-0.5,1,"Human",0
"41","Human",52210149,46,"left",90,90,1119,1,"Man, including trans man",19,"Right-handed","6","Normal",2,14,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.3,-0.5,1,"Human",0
"42","Human",52210149,47,"left",270,90,786,1,"Man, including trans man",19,"Right-handed","6","Normal",2,15,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.3,-0.5,1,"Human",0
"43","Human",52210149,48,"left",315,45,629,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,16,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.3,-0.5,-1,"Human",0
"44","Human",52210149,49,"left",315,45,614,1,"Man, including trans man",19,"Right-handed","6","Normal",2,17,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.3,0.5,1,"Human",0
"45","Human",52210149,51,"left",270,90,1459,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,19,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.3,0.5,-1,"Human",0
"46","Human",52210149,52,"left",180,180,1644,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,20,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.3,1.5,-1,"Human",0
"47","Human",52210149,53,"left",45,45,1002,1,"Man, including trans man",19,"Right-handed","6","Normal",2,21,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.3,1.5,1,"Human",0
"48","Human",52210149,54,"left",315,45,902,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,22,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.3,1.5,-1,"Human",0
"49","Human",52210149,55,"left",225,135,1271,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,23,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.3,2.5,-1,"Human",0
"50","Human",52210149,56,"left",270,90,1483,1,"Man, including trans man",19,"Right-handed","6","Normal",2,24,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.3,2.5,1,"Human",0
"51","Human",52210149,57,"left",225,135,1576,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,25,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.3,2.5,-1,"Human",0
"52","Human",52210149,58,"left",225,135,1703,1,"Man, including trans man",19,"Right-handed","6","Normal",2,26,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.3,3.5,1,"Human",0
"53","Human",52210149,59,"left",225,135,1011,1,"Man, including trans man",19,"Right-handed","6","Normal",2,27,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.3,3.5,1,"Human",0
"54","Human",52210149,60,"left",90,90,726,1,"Man, including trans man",19,"Right-handed","6","Normal",2,28,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.3,3.5,1,"Human",0
"55","Human",52210149,61,"left",0,0,967,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,29,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.3,4.5,-1,"Human",0
"56","Human",52210149,62,"left",90,90,1582,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,30,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.3,4.5,-1,"Human",0
"57","Human",52210149,63,"left",135,135,1899,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,31,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.3,4.5,-1,"Human",0
"58","Human",52210149,64,"left",45,45,844,1,"Man, including trans man",19,"Right-handed","6","mirrored",2,32,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.3,4.5,-1,"Human",0
"59","Human",52210149,65,"right",180,180,1738,1,"Man, including trans man",19,"Right-handed","6","Normal",3,1,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.2,-4.5,1,"Human",0
"60","Human",52210149,66,"right",315,45,969,1,"Man, including trans man",19,"Right-handed","6","Normal",3,2,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.2,-4.5,1,"Human",0
"61","Human",52210149,67,"right",0,0,1507,1,"Man, including trans man",19,"Right-handed","6","Normal",3,3,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.2,-4.5,1,"Human",0
"62","Human",52210149,68,"right",90,90,1110,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,4,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.2,-3.5,-1,"Human",0
"63","Human",52210149,69,"right",135,135,1147,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,5,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.2,-3.5,-1,"Human",0
"64","Human",52210149,70,"right",270,90,1379,1,"Man, including trans man",19,"Right-handed","6","Normal",3,6,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.2,-3.5,1,"Human",0
"65","Human",52210149,71,"right",45,45,916,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,7,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.2,-2.5,-1,"Human",0
"66","Human",52210149,72,"right",90,90,1599,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,8,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.2,-2.5,-1,"Human",0
"67","Human",52210149,73,"right",225,135,1583,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,9,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.2,-2.5,-1,"Human",0
"68","Human",52210149,74,"right",180,180,1251,1,"Man, including trans man",19,"Right-handed","6","Normal",3,10,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.2,-1.5,1,"Human",0
"69","Human",52210149,75,"right",225,135,1513,1,"Man, including trans man",19,"Right-handed","6","Normal",3,11,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.2,-1.5,1,"Human",0
"70","Human",52210149,76,"right",270,90,1147,1,"Man, including trans man",19,"Right-handed","6","Normal",3,12,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.2,-1.5,1,"Human",0
"71","Human",52210149,77,"right",90,90,895,1,"Man, including trans man",19,"Right-handed","6","Normal",3,13,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.2,-0.5,1,"Human",0
"72","Human",52210149,78,"right",45,45,882,1,"Man, including trans man",19,"Right-handed","6","Normal",3,14,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.2,-0.5,1,"Human",0
"73","Human",52210149,79,"right",0,0,745,1,"Man, including trans man",19,"Right-handed","6","Normal",3,15,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.2,-0.5,1,"Human",0
"74","Human",52210149,82,"right",270,90,1740,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,18,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.2,0.5,-1,"Human",0
"75","Human",52210149,83,"right",0,0,890,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,19,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.2,0.5,-1,"Human",0
"76","Human",52210149,84,"right",225,135,914,1,"Man, including trans man",19,"Right-handed","6","Normal",3,20,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.2,1.5,1,"Human",0
"77","Human",52210149,85,"right",45,45,1094,1,"Man, including trans man",19,"Right-handed","6","Normal",3,21,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.2,1.5,1,"Human",0
"78","Human",52210149,86,"right",0,0,1660,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,22,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.2,1.5,-1,"Human",0
"79","Human",52210149,87,"right",90,90,949,1,"Man, including trans man",19,"Right-handed","6","Normal",3,23,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.2,2.5,1,"Human",0
"80","Human",52210149,88,"right",180,180,1930,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,24,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.2,2.5,-1,"Human",0
"81","Human",52210149,90,"right",135,135,1135,1,"Man, including trans man",19,"Right-handed","6","Normal",3,26,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.1,3.5,1,"Human",0
"82","Human",52210149,91,"right",270,90,1510,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,27,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.1,3.5,-1,"Human",0
"83","Human",52210149,93,"right",225,135,1010,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,29,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.1,4.5,-1,"Human",0
"84","Human",52210149,94,"right",315,45,712,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,30,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.1,4.5,-1,"Human",0
"85","Human",52210149,95,"right",315,45,1010,1,"Man, including trans man",19,"Right-handed","6","mirrored",3,31,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.1,4.5,-1,"Human",0
"86","Human",52210149,97,"left",90,90,1616,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,1,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.1,-4.5,-1,"Human",0
"87","Human",52210149,98,"left",45,45,1604,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,2,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.1,-4.5,-1,"Human",0
"88","Human",52210149,99,"left",135,135,1924,1,"Man, including trans man",19,"Right-handed","6","Normal",4,3,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.1,-4.5,1,"Human",0
"89","Human",52210149,100,"left",135,135,1623,1,"Man, including trans man",19,"Right-handed","6","Normal",4,4,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.1,-3.5,1,"Human",0
"90","Human",52210149,101,"left",90,90,1996,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,5,0.5,1,0,0.5,0.5,NA,0.5,0.5,-0.1,-3.5,-1,"Human",0
"91","Human",52210149,102,"left",225,135,1274,1,"Man, including trans man",19,"Right-handed","6","Normal",4,6,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.1,-3.5,1,"Human",0
"92","Human",52210149,103,"left",0,0,1799,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,7,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.1,-2.5,-1,"Human",0
"93","Human",52210149,105,"left",270,90,1612,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,9,0.5,0,0,-0.5,0.5,NA,0.5,0.5,-0.1,-2.5,-1,"Human",0
"94","Human",52210149,106,"left",0,0,1365,1,"Man, including trans man",19,"Right-handed","6","Normal",4,10,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.1,-1.5,1,"Human",0
"95","Human",52210149,107,"left",45,45,1199,1,"Man, including trans man",19,"Right-handed","6","Normal",4,11,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.1,-1.5,1,"Human",0
"96","Human",52210149,109,"left",180,180,1529,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,13,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.1,-0.5,-1,"Human",0
"97","Human",52210149,110,"left",180,180,1189,1,"Man, including trans man",19,"Right-handed","6","Normal",4,14,1,0.5,0.5,0,0.5,NA,0.5,0.5,-0.1,-0.5,1,"Human",0
"98","Human",52210149,111,"left",45,45,1017,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,15,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,-0.1,-0.5,-1,"Human",0
"99","Human",52210149,112,"left",0,0,1040,1,"Man, including trans man",19,"Right-handed","6","Normal",4,16,0,0.5,-0.5,0,0.5,NA,0.5,0.5,-0.1,-0.5,1,"Human",0
"100","Human",52210149,113,"left",135,135,1703,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,17,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,-0.1,0.5,-1,"Human",0
"101","Human",52210149,114,"left",225,135,1685,1,"Man, including trans man",19,"Right-handed","6","Normal",4,18,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,-0.1,0.5,1,"Human",0
"102","Human",52210149,115,"left",315,45,1288,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,19,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,-0.1,0.5,-1,"Human",0
"103","Human",52210149,116,"left",90,90,755,1,"Man, including trans man",19,"Right-handed","6","Normal",4,20,0.5,1,0,0.5,0.5,NA,0.5,0.5,0,1.5,1,"Human",0
"104","Human",52210149,117,"left",315,45,768,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,21,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,0,1.5,-1,"Human",0
"105","Human",52210149,118,"left",315,45,762,1,"Man, including trans man",19,"Right-handed","6","Normal",4,22,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,0,1.5,1,"Human",0
"106","Human",52210149,119,"left",270,90,1273,1,"Man, including trans man",19,"Right-handed","6","Normal",4,23,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0,2.5,1,"Human",0
"107","Human",52210149,120,"left",315,45,834,1,"Man, including trans man",19,"Right-handed","6","Normal",4,24,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,0,2.5,1,"Human",0
"108","Human",52210149,121,"left",180,180,1166,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,25,1,0.5,0.5,0,0.5,NA,0.5,0.5,0,2.5,-1,"Human",0
"109","Human",52210149,122,"left",270,90,1845,1,"Man, including trans man",19,"Right-handed","6","Normal",4,26,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0,3.5,1,"Human",0
"110","Human",52210149,123,"left",90,90,1812,1,"Man, including trans man",19,"Right-handed","6","Normal",4,27,0.5,1,0,0.5,0.5,NA,0.5,0.5,0,3.5,1,"Human",0
"111","Human",52210149,124,"left",45,45,795,1,"Man, including trans man",19,"Right-handed","6","Normal",4,28,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,0,3.5,1,"Human",0
"112","Human",52210149,125,"left",225,135,1806,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,29,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,0,4.5,-1,"Human",0
"113","Human",52210149,126,"left",180,180,1981,1,"Man, including trans man",19,"Right-handed","6","Normal",4,30,1,0.5,0.5,0,0.5,NA,0.5,0.5,0,4.5,1,"Human",0
"114","Human",52210149,127,"left",0,0,1139,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,31,0,0.5,-0.5,0,0.5,NA,0.5,0.5,0,4.5,-1,"Human",0
"115","Human",52210149,128,"left",270,90,1123,1,"Man, including trans man",19,"Right-handed","6","mirrored",4,32,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0,4.5,-1,"Human",0
"116","Human",52210149,129,"left",315,45,918,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,1,0.25,0.25,-0.25,-0.25,0.5,NA,0.5,0.5,0,-4.5,-1,"Human",0
"117","Human",52210149,130,"left",0,0,639,1,"Man, including trans man",19,"Right-handed","6","Normal",5,2,0,0.5,-0.5,0,0.5,NA,0.5,0.5,0,-4.5,1,"Human",0
"118","Human",52210149,131,"left",0,0,873,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,3,0,0.5,-0.5,0,0.5,NA,0.5,0.5,0,-4.5,-1,"Human",0
"119","Human",52210149,132,"left",45,45,1322,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,4,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,0,-3.5,-1,"Human",0
"120","Human",52210149,133,"left",180,180,1480,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,5,1,0.5,0.5,0,0.5,NA,0.5,0.5,0,-3.5,-1,"Human",0
"121","Human",52210149,135,"left",225,135,1071,1,"Man, including trans man",19,"Right-handed","6","Normal",5,7,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,0,-2.5,1,"Human",0
"122","Human",52210149,136,"left",135,135,1378,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,8,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,0,-2.5,-1,"Human",0
"123","Human",52210149,137,"left",90,90,988,1,"Man, including trans man",19,"Right-handed","6","Normal",5,9,0.5,1,0,0.5,0.5,NA,0.5,0.5,0,-2.5,1,"Human",0
"124","Human",52210149,139,"left",270,90,818,1,"Man, including trans man",19,"Right-handed","6","Normal",5,11,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0,-1.5,1,"Human",0
"125","Human",52210149,140,"left",270,90,1179,1,"Man, including trans man",19,"Right-handed","6","Normal",5,12,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0,-1.5,1,"Human",0
"126","Human",52210149,141,"left",225,135,900,1,"Man, including trans man",19,"Right-handed","6","Normal",5,13,0.75,0.25,0.25,-0.25,0.5,NA,0.5,0.5,0.1,-0.5,1,"Human",0
"127","Human",52210149,142,"left",180,180,1882,1,"Man, including trans man",19,"Right-handed","6","Normal",5,14,1,0.5,0.5,0,0.5,NA,0.5,0.5,0.1,-0.5,1,"Human",0
"128","Human",52210149,143,"left",135,135,1150,1,"Man, including trans man",19,"Right-handed","6","Normal",5,15,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,0.1,-0.5,1,"Human",0
"129","Human",52210149,144,"left",90,90,1234,1,"Man, including trans man",19,"Right-handed","6","Normal",5,16,0.5,1,0,0.5,0.5,NA,0.5,0.5,0.1,-0.5,1,"Human",0
"130","Human",52210149,145,"left",90,90,966,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,17,0.5,1,0,0.5,0.5,NA,0.5,0.5,0.1,0.5,-1,"Human",0
"131","Human",52210149,146,"left",180,180,1444,1,"Man, including trans man",19,"Right-handed","6","Normal",5,18,1,0.5,0.5,0,0.5,NA,0.5,0.5,0.1,0.5,1,"Human",0
"132","Human",52210149,147,"left",45,45,1403,1,"Man, including trans man",19,"Right-handed","6","Normal",5,19,0.25,0.75,-0.25,0.25,0.5,NA,0.5,0.5,0.1,0.5,1,"Human",0
"133","Human",52210149,148,"left",270,90,1617,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,20,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0.1,1.5,-1,"Human",0
"134","Human",52210149,150,"left",0,0,729,1,"Man, including trans man",19,"Right-handed","6","Normal",5,22,0,0.5,-0.5,0,0.5,NA,0.5,0.5,0.1,1.5,1,"Human",0
"135","Human",52210149,152,"left",135,135,1679,1,"Man, including trans man",19,"Right-handed","6","Normal",5,24,0.75,0.75,0.25,0.25,0.5,NA,0.5,0.5,0.1,2.5,1,"Human",0
"136","Human",52210149,153,"left",270,90,1133,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,25,0.5,0,0,-0.5,0.5,NA,0.5,0.5,0.1,2.5,-1,"Human",0
"137","Human",52210149,154,"left",0,0,899,1,"Man, including trans man",19,"Right-handed","6","mirrored",5,26,0,0.5,-0.5,0,0.5,NA,0.5,0.5,0.1,3.5,-1,"Human",0
